wgi_glacier_id, glacier_name, lat, lon, total_area, mean_elev, snow_line_date 
CN5Z213A0018, ,33.351,90.844,4.17,5630, 
CN5Z213B0016, ,33.269,91.151,74.94,5740, 
CN5Z213F0017, ,33.955,89.513,5.71,5800, 
CN5Z213I0002, ,33.934,90.415,10.56,5570, 
CN5Z332G0043, ,30.796,83.405,3.3,6100, 
CN5Z431B0008, ,35.182,80.941,18.47,5950, 
CN5Z431B0009, ,35.237,80.948,12.99,5920, 
CN5Z431B0015, Chongcepingding,35.257,81.135,16.38,6050,19700000
CN5Z431C0022, Guliyapingding,35.291,81.476,119.33,6080, 
CN5Z431G0011, ,34.824,82.371,8.9,5760, 
CN5Z431I0038, ,34.353,81.132,4.06,5990, 
CN5Z431I0075, ,34.432,80.9,46.49,5940, 
CN5Z512A0001, ,35.64,89.739,20.34,5730, 
CN5Z512A0002, ,35.518,89.692,8.5,5740, 
CN5Z512A0003, ,35.589,89.637,17.18,5770, 
CN5Z512A0004, ,35.596,89.544,17.88,5780, 
CN5Z513A0004, ,34.533,89.778,3.66,5570, 
CN5Z513B0003, ,33.937,89.472,5.92,5820, 
CN5Z513C0001, ,34.043,89.057,10.38,5840, 
CN5Z522A0006, Duxueshan,34.574,85.453,24.93,5720, 
CN5Z523C0028, ,35.447,82.079,44.3,6000, 
CN5Z611A0010, ,33.828,89.148,51.49,5780, 
CN5Z614C0001, ,33.684,87.996,4.55,5770, 
CN5Z623I0001, ,32,84,1.44,5860, 
CN5Z631B0006, ,33.501,86.618,6.53,5810, 
CN5Z631E0001, ,34.318,85.887,68.9,5950, 
CN5Z631G0005, ,34.476,85.655,31.81,5890, 
CN5Z632C0001, ,33.496,85.578,4.46,5830, 
CN5Z634B0001, ,34.422,85.476,3.67,5760, 
FR4N01237C02, ARETE MIDI-PLAN,45.883,6.9,0.46,3450, 
FR4Q00162G03, GOURGS BLANCS W,42.703,0.478,0.23,2860,19800813
FR4Q00181G02, GOURGS BLANCS E,42.703,0.479,0.07,2900,19800813
GS6C20302002, ,-56.699,-27.141,9.87,522, 
GS6C20303006, ,-57.087,-26.666,1.472,263, 
GS6C20303007, ,-57.082,-26.665,0.709,282, 
GS6C20303008, ,-57.077,-26.664,0.691,300, 
GS6C20304001, ,-57.78,-26.46,25.562,323, 
